state,land,farm
Alabama,50744,14062
Alaska,567400,1375
Arizona,113635,40781
Arkansas,52068,21406
California,155959,39688
Colorado,103718,48750
Connecticut,4845,625
Delaware,1954,766
Florida,53927,14453
Georgia,57906,16094
Hawaii,6423,1734
Idaho,82747,17812
Illinois,55584,41719
Indiana,35867,23125
Iowa,55869,48125
Kansas,81815,72188
Kentucky,39728,21875
Louisiana,43562,12578
Maine,30862,2109
Maryland,9774,3203
Massachusetts,7840,812
Michigan,58110,15625
Minnesota,79610,42031
Mississippi,46907,17422
Missouri,68886,45469
Montana,145552,95000
Nebraska,76872,71250
Nevada,109826,9219
New Hampshire,8968,734
New Jersey,7417,1141
New Mexico,121356,67500
New York,47214,10938
North Carolina,48711,13438
North Dakota,68976,61875
Ohio,40948,21406
Oklahoma,68667,55000
Oregon,95997,25625
Pennsylvania,44817,12109
Rhode Island,1045,109
South Carolina,30109,7656
South Dakota,75885,68281
Tennessee,41217,17031
Texas,261797,203750
Utah,82144,17344
Vermont,9250,1906
Virginia,39594,12578
Washington,66544,23125
West Virginia,24230,5703
Wisconsin,54310,23750
Wyoming,97105,47188
